"","title","writer","page","price"
"309","한 권으로 끝내는 Node & Express(2판)","이선 브라운 ",448,25200
"310","맛있는 디자인 어도비 XD CC","임선주 ",364,21600
"311","엑셀 데이터 분석 바이블","최준선 ",712,34200
"312","쿼커스 쿡북","알렉스 소토 부에노 , 제이슨 포터 ",460,31500
"313","실전 시계열 분석","에일린 닐슨 ",568,34200
"314","스파크를 활용한 실시간 처리","제러드 마스 , 프랑수아 가릴로 ",472,34200
"315","게임 엔진 블랙 북 : 둠","파비앙 상글라르 ",472,37800
"316","러닝 SQL","앨런 볼리외 ",456,27000
"317","이야기로 배우는 구글 빅쿼리","구도 마사토 , 스즈키 다쓰히코 , 우에노야마 아키라 , 다카기 도모하루 ",256,18000
"318","쓰면서 익히는 알고리즘과 자료구조","윤대석 ",388,23400
"319","몽고DB 완벽 가이드(3판)","크리스티나 초도로우 , 섀넌 브래드쇼 , 오언 브라질 ",600,32400
"320","맛있는 디자인 프리미어 프로 CC 2021","정지원 , 심수진 , 윤성우 , 김덕영 ",484,21600
"321","모던 자바스크립트 핵심 가이드","알베르토 몬탈레시 ",284,17820
"322","고성능 파이썬(2판)","미샤 고렐릭 , 이안 오스발트 ",528,32400
"323","데이터가 뛰어노는 AI 놀이터, 캐글","가도와키 다이스케 , 사카타 류지 , 호사카 게이스케 , 히라마쓰 유지 ",428,31500
"324","데이터 과학을 위한 통계(2판)","피터 브루스 , 앤드루 브루스 , 피터 게데크 ",380,30600
"325","일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기","강남석 ",492,25200
"326","소문난 명강의 : 김상형의 SQL 정복","김상형 ",708,35100
"327","이벤트 기반 마이크로서비스 구축","애덤 벨메어 ",380,25200
"328","파이썬 비동기 라이브러리 Asyncio","케일럽 해팅 ",176,16200
"329","한 권으로 끝내는 Node & Express(2판)","이선 브라운 ",448,25200
"330","맛있는 디자인 어도비 XD CC","임선주 ",364,21600
"331","엑셀 데이터 분석 바이블","최준선 ",712,34200
"332","쿼커스 쿡북","알렉스 소토 부에노 , 제이슨 포터 ",460,31500
"333","실전 시계열 분석","에일린 닐슨 ",568,34200
"334","스파크를 활용한 실시간 처리","제러드 마스 , 프랑수아 가릴로 ",472,34200
"335","게임 엔진 블랙 북 : 둠","파비앙 상글라르 ",472,37800
"336","러닝 SQL","앨런 볼리외 ",456,27000
"337","이야기로 배우는 구글 빅쿼리","구도 마사토 , 스즈키 다쓰히코 , 우에노야마 아키라 , 다카기 도모하루 ",256,18000
"338","쓰면서 익히는 알고리즘과 자료구조","윤대석 ",388,23400
"339","몽고DB 완벽 가이드(3판)","크리스티나 초도로우 , 섀넌 브래드쇼 , 오언 브라질 ",600,32400
"340","맛있는 디자인 프리미어 프로 CC 2021","정지원 , 심수진 , 윤성우 , 김덕영 ",484,21600
"341","모던 자바스크립트 핵심 가이드","알베르토 몬탈레시 ",284,17820
"342","고성능 파이썬(2판)","미샤 고렐릭 , 이안 오스발트 ",528,32400
"343","데이터가 뛰어노는 AI 놀이터, 캐글","가도와키 다이스케 , 사카타 류지 , 호사카 게이스케 , 히라마쓰 유지 ",428,31500
"344","데이터 과학을 위한 통계(2판)","피터 브루스 , 앤드루 브루스 , 피터 게데크 ",380,30600
"345","일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기","강남석 ",492,25200
"346","소문난 명강의 : 김상형의 SQL 정복","김상형 ",708,35100
"347","이벤트 기반 마이크로서비스 구축","애덤 벨메어 ",380,25200
"348","파이썬 비동기 라이브러리 Asyncio","케일럽 해팅 ",176,16200
"349","한 권으로 끝내는 Node & Express(2판)","이선 브라운 ",448,25200
"350","맛있는 디자인 어도비 XD CC","임선주 ",364,21600
"351","엑셀 데이터 분석 바이블","최준선 ",712,34200
"352","쿼커스 쿡북","알렉스 소토 부에노 , 제이슨 포터 ",460,31500
"353","실전 시계열 분석","에일린 닐슨 ",568,34200
"354","스파크를 활용한 실시간 처리","제러드 마스 , 프랑수아 가릴로 ",472,34200
"355","게임 엔진 블랙 북 : 둠","파비앙 상글라르 ",472,37800
"356","러닝 SQL","앨런 볼리외 ",456,27000
"357","이야기로 배우는 구글 빅쿼리","구도 마사토 , 스즈키 다쓰히코 , 우에노야마 아키라 , 다카기 도모하루 ",256,18000
"358","쓰면서 익히는 알고리즘과 자료구조","윤대석 ",388,23400
